Date - 24-SVI-2021
Instrument Serial Number - 7200151242
Software Name - Ki67 Proliferation
Version Number - 1.8

,,,,,,,,,,,,,,Dotplot Cursor Position,,,,,,,,,,,,,,,,,,,,
 Sample No, Sample ID, Events Acquired, % Total, Cells/µL, Total Cell Conc (Cells/mL), % Negative Cells (Ki67-),%  Proliferating Cells (Ki67+), Ki67 (-) Mean, Ki67 (+) Mean, Ki67 (-) Median, Ki67 (+) Median, Ki67 (-) %CV, Ki67 (+) %CV, X1, Y1,X2,Y2, (Ki67-) Marker Position X1, (Ki67-) Marker Position X2, (Ki67+) Marker Position X1, (Ki67+) Marker Position X2, Acquisition Time (s), Date of Acquisition, Time of Acquisition, Date of Analysis, Time of Analysis, (High) YEL Gain, (Not set) RED Gain, FSC Gain, FSC Threshold, Flow Rate(µL/s), User Login Name, User Full Name,
 1, Sample_001, 5288, 100.00, 1830.62, 1.83E+006, 99.02, 0.98, 2.13, 15.14, 2.20, 14.88, 33.48, 176.66, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.9, 30-TRA-2021, 20:51:00, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 2, Sample_002, 5342, 100.00, 1904.55, 1.90E+006, 98.58, 1.42, 2.10, 13.49, 2.17, 14.91, 34.54, 72.61, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.8, 30-TRA-2021, 20:52:05, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 3, Sample_003, 5274, 100.00, 1661.21, 1.66E+006, 99.05, 0.95, 2.16, 12.27, 2.24, 11.63, 34.07, 129.29, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 5.4, 30-TRA-2021, 20:52:38, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 4, Sample_004, 5217, 100.00, 770.11, 7.70E+005, 63.25, 36.75, 2.13, 35.66, 2.18, 33.06, 38.12, 124.77, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 11.5, 30-TRA-2021, 20:53:46, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 5, Sample_005, 5232, 100.00, 738.18, 7.38E+005, 62.81, 37.19, 2.17, 38.63, 2.24, 36.02, 37.85, 129.04, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 12.0, 30-TRA-2021, 20:54:27, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 6, Sample_006, 5203, 100.00, 701.95, 7.02E+005, 61.43, 38.57, 2.21, 37.52, 2.30, 35.07, 37.24, 147.08, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 12.6, 30-TRA-2021, 20:55:09, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 7, Sample_007, 5189, 100.00, 532.67, 5.33E+005, 54.02, 45.98, 2.13, 38.15, 2.19, 37.44, 37.00, 116.20, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 16.5, 30-TRA-2021, 20:56:22, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 8, Sample_008, 5185, 100.00, 526.36, 5.26E+005, 53.42, 46.58, 2.16, 37.88, 2.23, 36.56, 37.23, 115.84, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 16.7, 30-TRA-2021, 20:57:11, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 9, Sample_009, 5217, 100.00, 562.31, 5.62E+005, 56.32, 43.68, 2.10, 38.34, 2.16, 38.39, 37.91, 106.64, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 15.7, 30-TRA-2021, 20:57:56, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 10, Sample_010, 5192, 100.00, 1889.22, 1.89E+006, 84.40, 15.60, 2.42, 14.43, 2.52, 11.60, 35.75, 158.65, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.7, 30-TRA-2021, 20:59:15, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 11, Sample_011, 5155, 100.00, 1842.53, 1.84E+006, 85.55, 14.45, 2.48, 14.06, 2.58, 11.71, 35.21, 193.29, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.7, 30-TRA-2021, 20:59:51, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 12, Sample_012, 5174, 100.00, 1932.88, 1.93E+006, 85.41, 14.59, 2.44, 13.04, 2.53, 10.90, 36.38, 156.97, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.5, 30-TRA-2021, 21:00:22, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 13, Sample_013, 5184, 100.00, 1574.91, 1.57E+006, 83.49, 16.51, 2.39, 15.51, 2.48, 12.98, 35.95, 146.01, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 5.6, 30-TRA-2021, 21:02:04, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 14, Sample_014, 5191, 100.00, 1550.36, 1.55E+006, 83.76, 16.24, 2.34, 16.61, 2.42, 13.41, 35.95, 170.11, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 5.7, 30-TRA-2021, 21:02:38, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 15, Sample_015, 5200, 100.00, 1532.26, 1.53E+006, 84.44, 15.56, 2.38, 16.00, 2.47, 13.00, 36.24, 151.49, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 5.8, 30-TRA-2021, 21:03:10, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 16, Sample_016, 5294, 100.00, 2189.04, 2.19E+006, 95.09, 4.91, 2.19, 14.04, 2.27, 10.46, 36.04, 207.31, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.1, 30-TRA-2021, 21:04:36, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 17, Sample_017, 5231, 100.00, 2046.18, 2.05E+006, 95.16, 4.84, 2.26, 15.53, 2.36, 11.26, 34.68, 216.69, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.3, 30-TRA-2021, 21:05:05, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 18, Sample_018, 5193, 100.00, 2065.64, 2.07E+006, 96.01, 3.99, 2.33, 15.04, 2.44, 10.72, 33.61, 181.91, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.3, 30-TRA-2021, 21:05:36, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 19, Sample_019, 5206, 100.00, 1994.51, 1.99E+006, 93.53, 6.47, 2.31, 15.84, 2.40, 13.65, 34.35, 210.42, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.4, 30-TRA-2021, 21:07:11, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 20, Sample_020, 5188, 100.00, 1403.77, 1.40E+006, 92.08, 7.92, 2.32, 15.84, 2.39, 12.26, 34.54, 256.17, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 6.3, 30-TRA-2021, 21:07:44, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 21, Sample_021, 5249, 100.00, 1994.31, 1.99E+006, 93.26, 6.74, 2.27, 14.50, 2.35, 11.01, 35.52, 204.71, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.5, 30-TRA-2021, 21:08:18, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 22, Sample_022, 5230, 100.00, 2418.01, 2.42E+006, 98.97, 1.03, 2.23, 11.58, 2.32, 11.49, 32.95, 65.36, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 3.7, 30-TRA-2021, 21:10:55, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 23, Sample_023, 5324, 100.00, 2238.58, 2.24E+006, 98.99, 1.01, 2.13, 14.71, 2.22, 12.29, 34.53, 350.76, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 4.0, 30-TRA-2021, 21:11:25, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
 24, Sample_024, 5338, 100.00, 2356.72, 2.36E+006, 98.89, 1.11, 2.14, 12.94, 2.25, 11.66, 33.87, 116.29, 1.00, 1.04, 10000.00, 10409.74, 1.00, 5.27, 5.27, 10000.00, 3.8, 30-TRA-2021, 21:12:02, 24-SVI-2021, 14:05:19, 1.0, 47.3, 5.0, 1, 0.59, DESKTOP-S2EELCM\ivanp, Ivan Pokrovac, 
