Date - 29-RUJ-2021
Instrument Serial Number - 7200151242
Software Name - Ki67 Proliferation
Version Number - 1.8

,,,,,,,,,,,,,,Dotplot Cursor Position,,,,,,,,,,,,,,,,,,,,
 Sample No, Sample ID, Events Acquired, % Total, Cells/µL, Total Cell Conc (Cells/mL), % Negative Cells (Ki67-),%  Proliferating Cells (Ki67+), Ki67 (-) Mean, Ki67 (+) Mean, Ki67 (-) Median, Ki67 (+) Median, Ki67 (-) %CV, Ki67 (+) %CV, X1, Y1,X2,Y2, (Ki67-) Marker Position X1, (Ki67-) Marker Position X2, (Ki67+) Marker Position X1, (Ki67+) Marker Position X2, Acquisition Time (s), Date of Acquisition, Time of Acquisition, Date of Analysis, Time of Analysis, (High) YEL Gain, (Not set) RED Gain, FSC Gain, FSC Threshold, Flow Rate(µL/s), User Login Name, User Full Name,
 1, Sample_001, 2000, 100.00, 2201.19, 2.20E+006, 99.65, 0.35, 2.64, 65.26, 2.45, 54.75, 127.75, 56.74, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 1.5, 28-RUJ-2021, 17:01:26, 28-RUJ-2021, 17:01:39, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 2, Sample_002, 2000, 100.00, 772.35, 7.72E+005, 87.05, 12.95, 6.36, 93.35, 5.32, 83.68, 93.58, 83.68, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 4.4, 28-RUJ-2021, 17:04:31, 28-RUJ-2021, 17:04:31, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 3, Sample_003, 2000, 100.00, 1058.99, 1.06E+006, 88.20, 11.80, 6.72, 108.66, 5.54, 91.72, 91.24, 102.84, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 3.2, 28-RUJ-2021, 17:04:59, 28-RUJ-2021, 17:04:59, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 4, Sample_004, 2000, 100.00, 1016.75, 1.02E+006, 88.05, 11.95, 6.61, 105.31, 5.56, 89.90, 88.54, 107.99, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 3.3, 28-RUJ-2021, 17:05:33, 28-RUJ-2021, 17:05:33, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 5, Sample_005, 2000, 100.00, 724.94, 7.25E+005, 91.30, 8.70, 5.02, 90.88, 4.15, 76.23, 104.33, 106.98, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 4.7, 28-RUJ-2021, 17:07:26, 28-RUJ-2021, 17:07:26, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 6, Sample_006, 2000, 100.00, 313.96, 3.14E+005, 22.55, 77.45, 13.98, 172.89, 17.57, 160.59, 65.83, 131.50, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 10.8, 28-RUJ-2021, 17:09:51, 28-RUJ-2021, 17:09:51, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 7, Sample_007, 2000, 100.00, 389.77, 3.90E+005, 21.95, 78.05, 12.84, 165.11, 15.72, 149.08, 69.00, 126.74, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 8.7, 28-RUJ-2021, 17:10:32, 28-RUJ-2021, 17:10:32, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 8, Sample_008, 2000, 100.00, 411.74, 4.12E+005, 23.85, 76.15, 13.50, 169.40, 17.88, 154.34, 66.35, 133.44, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 8.2, 28-RUJ-2021, 17:11:09, 28-RUJ-2021, 17:11:09, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 9, Sample_009, 2000, 100.00, 585.36, 5.85E+005, 27.10, 72.90, 15.44, 119.19, 19.52, 111.36, 60.89, 103.03, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 5.8, 28-RUJ-2021, 17:12:19, 28-RUJ-2021, 17:12:19, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 10, Sample_010, 2000, 100.00, 569.62, 5.70E+005, 26.25, 73.75, 15.37, 120.51, 18.94, 113.89, 61.53, 100.51, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 6.0, 28-RUJ-2021, 17:12:55, 28-RUJ-2021, 17:12:55, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 11, Sample_011, 2000, 100.00, 537.73, 5.38E+005, 27.85, 72.15, 16.16, 116.38, 18.50, 107.58, 57.68, 90.04, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 6.3, 28-RUJ-2021, 17:13:28, 28-RUJ-2021, 17:13:28, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 12, Sample_012, 2000, 100.00, 505.79, 5.06E+005, 96.00, 4.00, 3.01, 118.66, 2.61, 97.47, 130.11, 84.48, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 6.7, 28-RUJ-2021, 17:14:57, 28-RUJ-2021, 17:14:57, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 13, Sample_013, 2000, 100.00, 469.64, 4.70E+005, 94.95, 5.05, 3.01, 106.82, 2.60, 87.37, 133.07, 113.94, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 7.2, 28-RUJ-2021, 17:15:29, 28-RUJ-2021, 17:15:29, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
 14, Sample_014, 2000, 100.00, 462.21, 4.62E+005, 94.75, 5.25, 3.00, 112.54, 2.58, 99.32, 135.33, 134.57, 1.00, 4.45, 8762.95, 10000.00, 1.00, 42.13, 42.13, 10000.00, 7.3, 28-RUJ-2021, 17:16:07, 28-RUJ-2021, 17:16:07, 1.0, 47.3, 5.0, 274, 0.59, LNR, LNR, 
