Date - 04-KOL-2021
Instrument Serial Number - 7200151242
Software Name - Ki67 Proliferation
Version Number - 1.8

,,,,,,,,,,,,,,Dotplot Cursor Position,,,,,,,,,,,,,,,,,,,,
 Sample No, Sample ID, Events Acquired, % Total, Cells/µL, Total Cell Conc (Cells/mL), % Negative Cells (Ki67-),%  Proliferating Cells (Ki67+), Ki67 (-) Mean, Ki67 (+) Mean, Ki67 (-) Median, Ki67 (+) Median, Ki67 (-) %CV, Ki67 (+) %CV, X1, Y1,X2,Y2, (Ki67-) Marker Position X1, (Ki67-) Marker Position X2, (Ki67+) Marker Position X1, (Ki67+) Marker Position X2, Acquisition Time (s), Date of Acquisition, Time of Acquisition, Date of Analysis, Time of Analysis, (High) YEL Gain, (Not set) RED Gain, FSC Gain, FSC Threshold, Flow Rate(µL/s), User Login Name, User Full Name,
 1, Sample_001, 5000, 100.00, 2318.63, 2.32E+006, 99.86, 0.14, 3.95, 30.92, 4.15, 34.45, 36.11, 47.04, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 3.7, 29-SRP-2021, 16:41:48, 29-SRP-2021, 16:41:48, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 2, Sample_002, 5000, 100.00, 2221.38, 2.22E+006, 99.82, 0.18, 3.94, 24.06, 4.15, 19.98, 36.26, 53.44, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 3.8, 29-SRP-2021, 16:42:17, 29-SRP-2021, 16:42:17, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 3, Sample_003, 5000, 100.00, 2243.73, 2.24E+006, 99.82, 0.18, 3.94, 25.53, 4.20, 19.89, 36.32, 53.69, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 3.8, 29-SRP-2021, 16:42:48, 29-SRP-2021, 16:42:48, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 4, Sample_004, 5000, 100.00, 1966.26, 1.97E+006, 64.50, 35.50, 4.62, 59.68, 4.82, 52.72, 41.42, 180.56, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 4.3, 29-SRP-2021, 16:43:48, 29-SRP-2021, 16:43:48, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 5, Sample_005, 5000, 100.00, 1926.04, 1.93E+006, 62.84, 37.16, 4.51, 59.84, 4.66, 53.02, 42.15, 199.64, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 4.4, 29-SRP-2021, 16:44:19, 29-SRP-2021, 16:44:19, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 6, Sample_006, 5000, 100.00, 1704.12, 1.70E+006, 61.94, 38.06, 4.71, 62.80, 4.92, 56.10, 40.26, 200.26, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 5.0, 29-SRP-2021, 16:44:49, 29-SRP-2021, 16:44:49, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 7, Sample_007, 5000, 100.00, 1526.68, 1.53E+006, 72.80, 27.20, 4.09, 171.49, 4.34, 164.36, 43.75, 188.01, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 5.6, 29-SRP-2021, 16:46:00, 29-SRP-2021, 16:49:58, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 8, Sample_008, 5000, 100.00, 1541.67, 1.54E+006, 75.92, 24.08, 4.11, 150.76, 4.32, 123.50, 42.91, 188.94, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 5.5, 29-SRP-2021, 16:46:33, 29-SRP-2021, 16:46:33, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 9, Sample_009, 5000, 100.00, 1336.05, 1.34E+006, 70.78, 29.22, 3.94, 154.94, 4.15, 141.32, 44.70, 189.89, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 6.3, 29-SRP-2021, 16:47:14, 29-SRP-2021, 16:47:14, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 10, Sample_010, 5000, 100.00, 2100.79, 2.10E+006, 96.74, 3.26, 4.16, 53.35, 4.35, 39.08, 37.97, 272.87, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 4.0, 29-SRP-2021, 16:48:15, 29-SRP-2021, 16:48:15, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 11, Sample_011, 5000, 100.00, 2119.17, 2.12E+006, 97.16, 2.84, 4.16, 42.30, 4.36, 33.55, 38.05, 297.27, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 4.0, 29-SRP-2021, 16:48:46, 29-SRP-2021, 16:48:46, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 12, Sample_012, 5000, 100.00, 1464.16, 1.46E+006, 96.38, 3.62, 4.14, 43.34, 4.36, 30.36, 38.21, 320.51, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 5.8, 29-SRP-2021, 16:49:17, 29-SRP-2021, 16:50:27, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 13, Sample_013, 5000, 100.00, 1476.15, 1.48E+006, 78.16, 21.84, 4.29, 75.65, 4.52, 69.94, 41.08, 191.73, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 5.7, 29-SRP-2021, 16:53:17, 29-SRP-2021, 16:53:17, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 14, Sample_014, 5000, 100.00, 1630.35, 1.63E+006, 81.12, 18.88, 4.23, 83.98, 4.43, 74.78, 39.75, 191.37, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 5.2, 29-SRP-2021, 16:53:54, 29-SRP-2021, 16:53:54, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 15, Sample_015, 5000, 100.00, 1364.01, 1.36E+006, 78.78, 21.22, 4.57, 82.94, 4.82, 79.59, 38.52, 179.91, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 6.2, 29-SRP-2021, 16:54:26, 29-SRP-2021, 16:54:26, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 16, Sample_016, 5000, 100.00, 1768.12, 1.77E+006, 90.10, 9.90, 3.99, 207.56, 4.23, 187.85, 40.29, 204.95, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 4.8, 29-SRP-2021, 16:56:18, 29-SRP-2021, 16:56:18, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 17, Sample_017, 5000, 100.00, 1936.16, 1.94E+006, 91.12, 8.88, 3.64, 203.98, 3.83, 198.12, 43.80, 195.30, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 4.4, 29-SRP-2021, 16:56:48, 29-SRP-2021, 16:56:48, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 18, Sample_018, 5000, 100.00, 2352.09, 2.35E+006, 93.18, 6.82, 3.56, 181.21, 3.74, 157.46, 43.96, 205.95, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 3.6, 29-SRP-2021, 16:57:19, 29-SRP-2021, 16:57:19, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 19, Sample_019, 5000, 100.00, 1904.40, 1.90E+006, 97.42, 2.58, 4.04, 39.26, 4.25, 26.26, 38.74, 354.90, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 4.4, 29-SRP-2021, 16:58:20, 29-SRP-2021, 16:58:20, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 20, Sample_020, 5000, 100.00, 1894.18, 1.89E+006, 98.00, 2.00, 4.06, 41.76, 4.26, 30.07, 38.63, 252.88, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 4.5, 29-SRP-2021, 16:58:58, 29-SRP-2021, 16:58:58, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
 21, Sample_021, 5000, 100.00, 1931.31, 1.93E+006, 97.68, 2.32, 4.05, 54.73, 4.28, 37.68, 39.22, 235.73, 1.00, 1.00, 10000.00, 10000.00, 1.00, 12.05, 12.05, 10000.00, 4.4, 29-SRP-2021, 16:59:35, 29-SRP-2021, 16:59:35, 2.0, 47.3, 32.0, 1, 0.59, LNR, LNR, 
