Date - 08-LIP-2021
Instrument Serial Number - 7200151242
Software Name - Ki67 Proliferation
Version Number - 1.8

,,,,,,,,,,,,,,Dotplot Cursor Position,,,,,,,,,,,,,,,,,,,,
 Sample No, Sample ID, Events Acquired, % Total, Cells/µL, Total Cell Conc (Cells/mL), % Negative Cells (Ki67-),%  Proliferating Cells (Ki67+), Ki67 (-) Mean, Ki67 (+) Mean, Ki67 (-) Median, Ki67 (+) Median, Ki67 (-) %CV, Ki67 (+) %CV, X1, Y1,X2,Y2, (Ki67-) Marker Position X1, (Ki67-) Marker Position X2, (Ki67+) Marker Position X1, (Ki67+) Marker Position X2, Acquisition Time (s), Date of Acquisition, Time of Acquisition, Date of Analysis, Time of Analysis, (High) YEL Gain, (Not set) RED Gain, FSC Gain, FSC Threshold, Flow Rate(µL/s), User Login Name, User Full Name,
 1, Sample_001, 5000, 100.00, 2244.92, 2.24E+006, 99.54, 0.46, 2.19, 18.96, 2.28, 18.35, 35.24, 54.93, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 3.8, 26-TRA-2021, 19:26:25, 26-TRA-2021, 19:26:25, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 2, Sample_002, 5000, 100.00, 1536.92, 1.54E+006, 98.62, 1.38, 2.38, 21.95, 2.47, 20.10, 35.84, 95.65, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 5.5, 26-TRA-2021, 19:27:24, 26-TRA-2021, 19:27:24, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 3, Sample_003, 5000, 100.00, 1919.06, 1.92E+006, 97.78, 2.22, 2.36, 19.98, 2.44, 18.18, 38.63, 138.55, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.4, 26-TRA-2021, 19:28:29, 26-TRA-2021, 19:28:29, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 4, Sample_004, 5000, 100.00, 1027.59, 1.03E+006, 90.58, 9.42, 2.20, 38.03, 2.21, 35.23, 57.40, 112.36, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 8.2, 26-TRA-2021, 19:29:38, 26-TRA-2021, 19:29:38, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 5, Sample_005, 5000, 100.00, 961.93, 9.62E+005, 89.48, 10.52, 2.25, 38.28, 2.23, 36.15, 57.52, 115.31, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 8.8, 26-TRA-2021, 19:30:15, 26-TRA-2021, 19:30:15, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 6, Sample_006, 5000, 100.00, 947.41, 9.47E+005, 90.74, 9.26, 2.26, 37.93, 2.25, 33.99, 56.97, 114.19, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 8.9, 26-TRA-2021, 19:30:50, 26-TRA-2021, 19:30:50, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 7, Sample_007, 5000, 100.00, 1267.70, 1.27E+006, 57.66, 42.34, 2.68, 56.57, 2.58, 54.32, 64.41, 111.10, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 6.7, 26-TRA-2021, 19:31:54, 26-TRA-2021, 19:31:54, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 8, Sample_008, 5000, 100.00, 1653.58, 1.65E+006, 63.84, 36.16, 2.61, 56.78, 2.54, 57.14, 64.26, 109.01, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 5.1, 26-TRA-2021, 19:32:24, 26-TRA-2021, 19:32:24, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 9, Sample_009, 5000, 100.00, 1348.38, 1.35E+006, 60.66, 39.34, 2.55, 53.14, 2.44, 50.75, 67.77, 114.44, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 6.3, 26-TRA-2021, 19:33:00, 26-TRA-2021, 19:33:00, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
